DeltaT,MeanTemporalFluctuation,StdTemporalFluctuation,DeltaE,Product
1E-43,-0.0069202893792244015,0.542728659922282,1061621565.0586541,1.0616215650586542E-34
2E-43,0.0018558584068806378,0.2692860387408927,526745475.23893327,1.0534909504778666E-34
5E-43,-0.0007587052304199198,0.10757453697729959,210424576.29316023,1.0521228814658012E-34
1E-42,-0.0005699521683729731,0.053467576803323834,104586945.11170043,1.0458694511170044E-34
2E-42,-0.00011254476646042373,0.026733097751934165,52292121.58860078,1.0458424317720155E-34
5E-42,2.4541160612842434E-05,0.010713262979432037,20956016.97676743,1.0478008488383714E-34
1E-41,-7.436324299841903E-05,0.00532958558507549,10425104.49098469,1.0425104490984689E-34
2E-41,2.7344531591086814E-06,0.002693226948920273,5268171.776630178,1.0536343553260357E-34
5E-41,7.635919489759766E-06,0.0010693016876528259,2091641.3946674776,1.0458206973337388E-34
1E-40,2.0984022018231173E-06,0.0005404262840737281,1057117.9299418996,1.0571179299418996E-34
2E-40,2.7400003946934883E-06,0.00026857302773731096,525350.7675084905,1.050701535016981E-34
5E-40,1.6840846392409065E-07,0.00010657970955621929,208478.6126436972,1.042393063218486E-34
1E-39,-9.39198934670833E-07,5.42987332276839E-05,106212.75493011695,1.0621275493011694E-34
2E-39,2.285091992837822E-07,2.6943738125575682E-05,52704.151355302005,1.05408302710604E-34
5E-39,-6.897183091473675E-08,1.0747515587366907E-05,21023.01787413733,1.0511508937068664E-34
1E-38,-6.09338159200091E-08,5.330354764555155E-06,10426.609068839725,1.0426609068839726E-34
2E-38,-2.685196938823225E-08,2.6948617615699036E-06,5271.369603632583,1.0542739207265165E-34
5E-38,5.8584878565430535E-09,1.0799876339670446E-06,2112.543978017062,1.056271989008531E-34
